City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Puerto Ayora,-0.74,-90.35,74.48,70.74,69,1014,14.99,20
Avera,33.19,-82.53,71.64,72.9,66,1023,3.36,90
Klaksvík,62.23,-6.59,46.4,35.42,93,1017,17.22,100
São João da Barra,-21.64,-41.05,78.8,77.79,83,1014,18.34,0
Kyaikkami,16.08,97.57,76.84,80.96,79,1011,6.06,0
Saskylakh,71.92,114.08,-9.2,-23.67,86,1009,13.8,2
Aykhal,66.0,111.5,-2.2,-15.02,84,1006,11.18,90
Lázaro Cárdenas,17.96,-102.2,82.99,86.92,72,1010,9.42,77
Kathu,7.92,98.33,80.64,93.31,100,1009,2.24,75
Bluff,-46.6,168.33,52.0,47.44,84,1022,7.0,88
Cap Malheureux,-19.98,57.61,73.0,77.99,81,1020,1.99,0
Rio Grande,-32.03,-52.1,73.4,68.41,64,1018,14.99,40
Barcelos,41.54,-8.62,58.23,52.39,87,1018,12.75,40
Avarua,-21.21,-159.78,78.8,83.68,74,1013,4.7,91
Ginir,7.13,40.7,58.12,58.44,92,1016,2.64,68
Ixtapa,20.7,-105.2,84.11,87.35,66,1011,9.17,20
Road Town,18.42,-64.62,80.62,87.04,83,1012,6.93,40
Cururupu,-1.83,-44.87,77.49,85.06,87,1011,3.2,64
Ferme-Neuve,46.7,-75.45,66.2,60.96,45,1025,6.93,0
Buchanan,5.88,-10.05,78.53,85.57,87,1014,5.21,42
General Roca,-39.03,-67.58,77.0,74.57,53,1014,9.17,20
Port Alfred,-33.59,26.89,64.74,60.51,79,1019,12.08,93
Mīnāb,27.15,57.08,87.8,98.71,74,1005,2.8,0
Khatanga,71.97,102.5,9.75,-6.56,91,994,18.45,100
Saldanha,-33.01,17.94,57.2,56.57,76,1022,1.12,11
Sola,-13.88,167.55,86.0,94.75,74,1010,4.7,75
Baykit,61.67,96.37,30.85,24.66,96,998,4.09,100
Lebu,-37.62,-73.65,54.79,43.81,81,1019,19.19,0
Ribeira Grande,38.52,-28.7,57.2,53.08,67,1023,5.82,75
Santa Rosa,14.31,121.11,78.6,88.74,94,1007,2.24,90
Tuatapere,-46.13,167.68,52.0,47.44,84,1022,7.0,96
Pevek,69.7,170.31,17.04,9.77,94,1012,3.36,100
Upernavik,72.79,-56.15,-4.61,-15.95,75,1012,8.32,0
Puerto Armuelles,8.28,-82.87,78.96,82.83,78,1010,8.05,75
Médéa,36.26,2.75,62.6,63.61,88,1021,3.36,40
Broome,42.25,-75.83,61.36,55.26,34,1028,4.7,1
Sur,22.57,59.53,75.79,77.83,65,1018,4.41,0
Bredasdorp,-34.53,20.04,55.4,49.15,76,1022,10.29,4
Mount Gambier,-37.83,140.77,57.2,53.29,76,1021,6.93,77
Merauke,-8.47,140.33,82.35,84.97,77,1011,13.11,100
Chui,-33.7,-53.46,61.88,59.31,81,1020,7.9,0
Caravelas,-17.71,-39.25,74.89,78.85,85,1016,6.6,100
Kalmunai,7.42,81.82,80.58,86.43,81,1009,7.16,92
Jilib,0.49,42.79,75.81,82.92,89,1012,3.09,89
Sakakah,29.97,40.21,68.0,61.23,45,1020,10.29,0
Souillac,-20.52,57.52,71.6,77.23,94,1021,3.36,75
Norman Wells,65.28,-126.83,21.2,10.17,85,1002,10.29,75
Panzhihua,26.59,101.71,58.68,58.28,73,1024,0.87,49
Tandaltī,13.02,31.87,78.39,68.61,18,1012,10.85,0
Ponta do Sol,32.67,-17.1,61.0,54.84,63,1023,10.29,20
Tura,25.52,90.22,64.69,64.71,79,1014,4.52,0
Hachinohe,40.5,141.5,39.2,20.03,60,1007,26.4,40
Syedove,47.08,38.16,45.0,35.92,81,1021,11.99,0
Torbay,47.67,-52.73,35.01,25.52,55,1026,8.05,75
San Patricio,28.02,-97.52,81.14,77.34,61,1013,17.22,40
New Norfolk,-42.78,147.06,53.78,51.15,68,1023,1.99,6
Thyborøn,56.7,8.21,39.88,31.23,95,1025,10.96,99
Tāybād,34.74,60.78,48.43,38.77,79,1030,14.0,95
Chapais,49.78,-74.85,37.4,32.05,100,1020,4.7,90
Kapaa,22.08,-159.32,80.26,81.03,69,1018,11.41,40
Urubichá,-15.38,-62.95,92.52,93.92,31,1005,1.7,43
Kungurtug,50.6,97.52,23.95,17.6,91,1027,2.71,0
Purpe,64.48,76.69,30.0,20.62,95,975,9.51,100
Castro,-24.79,-50.01,72.46,70.18,51,1014,5.88,55
Belz,47.68,-3.17,56.34,55.18,72,1015,1.01,88
Nome,64.5,-165.41,25.3,17.47,73,1003,4.7,1
Thompson,55.74,-97.86,12.2,-2.22,78,1019,14.99,90
Kiryat Gat,31.61,34.76,65.97,66.25,74,1016,3.67,12
Half Moon Bay,37.46,-122.43,53.69,38.35,58,1009,23.04,1
San Andrés,12.58,-81.7,86.0,91.6,74,1009,10.29,40
Edgewater,28.99,-80.9,76.66,75.78,83,1015,16.11,90
Frolishchi,56.42,42.65,32.9,23.4,91,1014,10.16,0
Armidale,-30.52,151.65,48.99,45.57,78,1026,3.0,25
Urusha,54.05,122.9,1.87,-6.41,90,1026,3.49,0
Sampit,-2.53,112.95,73.71,82.09,97,1010,1.28,92
Carnarvon,-24.87,113.63,69.8,66.2,68,1012,11.41,90
Yamada,39.47,141.95,41.36,30.9,65,1011,11.83,1
Gladstone,-23.85,151.25,71.6,64.89,53,1022,13.87,56
Adrar,20.5,-10.07,83.82,75.97,14,1017,6.98,47
Qandala,11.47,49.87,79.18,83.52,75,1015,6.35,16
Manokwari,-0.87,134.08,81.75,86.92,74,1010,6.85,71
San Cristobal,7.77,-72.22,82.4,86.59,74,1011,9.17,40
Saint Paul Harbor,57.79,-152.41,48.2,31.28,57,995,24.16,75
Bilma,18.69,12.92,70.65,60.87,33,1016,13.44,0
Kahului,20.89,-156.47,82.58,74.01,46,1016,20.8,40
Luanda,-8.84,13.23,78.8,84.22,83,1012,6.93,75
Daru,-9.08,143.21,80.49,82.26,84,1010,15.46,79
Igarka,67.47,86.58,23.77,10.92,98,981,14.54,100
Adeje,28.12,-16.73,67.68,62.62,68,1023,12.75,75
Seydi,39.48,62.91,44.74,37.96,82,1031,7.96,84
Codrington,-38.27,141.97,64.27,61.83,76,1022,7.99,52
Nago,26.59,127.98,72.1,69.93,60,1018,8.05,75
Asău,46.43,26.4,39.88,36.3,100,1026,2.37,0
Haapiti,-17.57,-149.87,84.09,82.8,66,1012,17.22,40
Kluczbork,50.97,18.22,42.12,37.17,76,1027,3.31,0
Tazovsky,67.47,78.7,15.3,6.37,98,980,6.2,85
Usinsk,65.99,57.53,26.96,14.74,98,986,14.05,100
Bafut,6.08,10.1,62.96,64.71,81,1015,0.85,59
Butaritari,3.07,172.79,81.34,84.04,65,1012,7.38,71
Bengkulu,-3.8,102.27,75.6,83.8,91,1010,1.57,100
Cisaat,-6.29,105.97,70.61,77.9,97,1010,0.36,69
Sukhumi,43.0,41.02,54.18,49.75,62,1026,4.43,0
Port-Cartier,50.03,-66.87,29.71,22.32,74,1027,4.7,95
Paamiut,61.99,-49.67,24.96,-5.15,86,987,44.83,100
Alofi,-19.06,-169.92,80.6,81.95,65,1012,9.17,75
Bāndarban,22.2,92.23,68.27,72.84,92,1013,1.92,0
Valparaíso,-33.04,-71.63,59.88,55.65,72,1019,8.05,40
Namatanai,-3.67,152.43,82.4,90.3,75,1011,3.0,74
Verāval,20.9,70.37,77.59,75.69,48,1014,6.91,0
Bathsheba,13.22,-59.52,77.0,77.74,94,1012,17.22,75
Buala,-8.14,159.59,84.6,89.89,68,1011,6.82,52
Zhigansk,66.77,123.37,-16.11,-26.0,89,1020,5.41,42
Yangi Marg`ilon,40.43,71.72,51.8,44.04,43,1022,6.93,90
Tūkrah,32.53,20.58,65.14,60.31,69,1020,11.16,49
Rangpur City,25.75,89.25,66.18,64.17,74,1014,7.9,0
Cabo San Lucas,22.89,-109.91,84.27,81.79,58,1013,16.11,5
Nanortalik,60.14,-45.24,31.44,19.99,95,978,13.51,100
Zhangye,38.93,100.45,41.18,32.32,45,1024,7.11,0
Bonthe,7.53,-12.51,78.58,86.13,86,1014,4.0,76
Kaitangata,-46.28,169.85,55.0,50.5,76,1018,7.0,93
Grand-Santi,4.25,-54.38,81.21,87.31,66,1010,1.61,45
Sioux Lookout,50.1,-91.92,62.6,58.1,63,1006,8.05,75
Vanavara,60.34,102.28,29.57,21.42,98,1006,7.4,94
Norman,35.22,-97.44,72.07,61.43,60,1012,23.04,75
Provideniya,64.38,-173.3,32.0,24.53,97,1004,6.71,90
Hofn,64.25,-15.21,39.67,29.23,73,1017,12.12,97
Barra de Tecoanapa,16.52,-98.75,85.17,89.55,67,1010,8.55,19
Mogadishu,2.04,45.34,79.07,82.51,81,1012,10.0,2
Salinópolis,-0.61,-47.36,81.21,82.22,76,1011,14.5,1
Loreto,22.27,-101.97,76.24,68.94,19,1011,6.35,47
Lavrentiya,65.58,-171.0,26.76,18.59,94,1006,6.62,75
Hithadhoo,-0.6,73.08,83.8,88.77,72,1009,8.32,100
Hong Kong,22.29,114.16,69.66,68.63,46,1017,1.01,77
Araouane,18.9,-3.53,82.6,73.99,15,1016,8.48,22
Abingdon,51.67,-1.28,53.8,53.08,100,1018,3.36,99
Saint-Philippe,-21.36,55.77,69.48,68.38,73,1020,8.05,0
Saint-Augustin,51.23,-58.65,28.62,18.91,76,1027,8.7,32
Kaniama,-7.57,24.18,68.58,73.42,94,1011,2.19,100
Lorengau,-2.02,147.27,82.36,89.85,72,1010,2.48,99
Tiznit Province,29.58,-9.5,61.79,60.8,68,1022,2.44,0
Marabu,4.41,114.01,77.0,85.55,94,1008,3.36,40
Cidreira,-30.18,-50.21,68.56,63.99,80,1018,15.39,93
Robāţ Karīm,35.48,51.08,48.97,36.07,66,1026,18.34,20
Awjilah,29.11,21.29,61.65,54.36,62,1020,12.39,32
Arrondissement de Gap,44.67,6.0,46.99,43.61,89,1024,3.51,49
Leh,34.17,77.58,29.28,23.29,59,1030,1.28,0
Sinnamary,5.38,-52.95,80.19,82.98,82,1011,12.57,7
Mocajuba,-2.58,-49.51,81.36,87.75,70,1009,2.75,45
Ulaangom,49.98,92.07,22.6,16.66,94,1023,1.88,0
Kachug,53.96,105.88,26.96,21.36,95,1019,2.13,33
Ahipara,-35.17,173.17,59.32,52.16,78,1006,14.09,52
Baní,18.28,-70.33,74.77,83.46,100,1010,2.71,90
Cracow,43.74,-82.82,64.08,59.74,56,1025,6.93,90
Omboué,-1.57,9.26,76.1,81.41,91,1014,7.2,100
Esim,4.87,-2.24,78.58,83.97,87,1014,8.19,76
Mount Isa,-20.73,139.5,78.8,71.51,16,1014,5.82,0
Puerto Escondido,15.85,-97.07,86.0,92.73,66,1011,4.7,40
Belyy Yar,53.6,91.39,23.0,17.04,100,1011,2.24,68
Zhangjiakou,40.81,114.88,31.86,25.92,77,1030,2.68,0
Panacan,9.25,118.41,77.0,82.4,88,1006,6.93,40
Bambous Virieux,-20.34,57.76,72.27,78.22,94,1021,3.36,75
Atherton,53.52,-2.49,52.43,51.35,91,1017,1.99,100
Province of Mantua,45.17,10.78,48.99,47.41,96,1024,1.99,0
Charters Towers,-20.1,146.27,74.86,68.88,62,1018,17.07,85
West Bay,19.37,-81.42,85.37,85.98,66,1005,14.99,40
Anjozorobe,-18.4,47.87,62.6,56.43,77,1024,13.87,20
Bonfim,3.08,-59.95,76.3,82.85,86,1011,3.58,99
Tulsīpur,28.13,82.3,60.6,58.41,68,1017,4.03,0
Karratha,-20.74,116.85,68.31,66.33,68,1012,7.63,0
Gołdap,54.31,22.3,40.44,36.34,97,1028,3.22,22
Nyurba,63.28,118.33,-2.97,-11.97,90,1020,4.45,10
Araxá,-19.59,-46.94,78.8,76.57,61,1017,12.75,41
Padang,-0.95,100.35,76.57,81.12,76,1010,4.09,98
Port Hardy,50.7,-127.42,44.6,37.85,52,1023,4.7,20
Saint George,37.1,-113.58,44.38,29.28,52,1003,19.46,75
Orai,25.98,79.47,63.39,58.26,29,1016,2.42,0
Wakema,16.6,95.18,73.56,76.68,91,1010,8.72,11
Tautira,-17.73,-149.15,84.09,82.8,66,1012,17.22,40
Alyangula,-13.85,136.42,77.0,82.08,100,1011,11.5,38
Yar-Sale,66.83,70.83,21.11,12.6,98,982,6.35,86
Putina,-15.47,-69.43,50.79,36.45,58,1016,20.4,6
Saint-Pierre,-21.34,55.48,68.23,66.69,73,1020,8.05,0
Hasaki,35.73,140.83,48.02,43.39,66,1012,3.36,75
Kavieng,-2.57,150.8,83.05,90.05,69,1010,2.77,84
Byron Bay,-28.65,153.62,64.87,60.96,63,1025,8.05,75
Port Elizabeth,-33.92,25.57,59.0,54.77,93,1020,11.41,100
Corn Island,12.17,-83.04,83.16,90.68,75,1008,4.41,92
Georgiyevskoye,58.73,45.02,33.1,22.14,90,1007,12.73,95
Beringovskiy,63.05,179.32,19.27,8.62,91,1006,9.6,10
Auriflama,-20.69,-50.55,87.08,84.83,25,1009,2.75,9
Callaway,30.15,-85.57,82.76,81.36,54,1016,11.41,20
Ancud,-41.87,-73.82,68.0,60.4,49,1019,12.75,2
Deer Lake,49.17,-57.43,32.0,24.19,91,1027,6.93,40
Kashgar,39.45,75.98,44.6,34.02,28,1024,8.95,20
Inuvik,68.35,-133.72,23.09,13.96,79,1000,6.93,100
Fortuna,40.6,-124.16,51.64,39.15,57,1013,17.22,20
Orocué,4.79,-71.34,82.13,91.17,78,1008,1.9,98
Seoul,37.57,126.98,34.16,23.94,40,1026,8.19,1
Mayo,38.89,-76.51,64.62,64.98,93,1028,6.93,1
Bom Jesus,-9.07,-44.36,80.42,83.8,61,1012,3.94,12
Goderich,43.75,-81.72,66.2,62.6,48,1025,4.7,0
Khabary,53.63,79.53,40.89,27.25,68,1005,17.67,100
Hutang,31.53,119.48,48.0,44.76,92,964,4.0,0
Rawson,-43.3,-65.1,72.01,59.11,46,1014,23.11,100
Nizhniy Odes,63.64,54.86,30.45,22.12,98,989,7.94,99
Nishihara,26.18,127.76,72.34,69.62,64,1019,10.29,75
Kapit,2.02,112.93,73.51,81.5,94,1010,0.89,100
Hue,16.47,107.6,75.2,79.45,94,1014,9.17,75
Sarmanovo,55.26,52.59,32.0,23.13,93,1001,8.95,40
Honiara,-9.43,159.95,82.4,90.77,78,1010,3.36,40
Egvekinot,66.32,-179.17,15.62,5.77,93,1007,7.72,54
Alvdal,62.11,10.63,30.2,22.82,92,1023,5.82,63
Hualmay,-11.1,-77.61,65.97,63.03,74,1016,9.4,11
Kousséri,12.08,15.03,73.4,71.96,46,1013,3.36,26
Sri Aman,1.24,111.46,73.2,80.64,100,1009,3.36,98
Huarmey,-10.07,-78.15,66.78,64.17,70,1015,8.34,3
Forlì,44.22,12.05,50.9,48.99,87,1024,2.24,0
Verkhnyaya Inta,65.98,60.31,27.39,19.69,99,984,6.17,100
Faya,18.39,42.45,62.6,59.07,55,1028,4.7,0
Havøysund,71.0,24.66,34.72,24.33,80,1002,11.41,75
Bonavista,48.65,-53.11,34.68,27.21,59,1026,4.7,98
Vao,-22.67,167.48,71.22,65.43,79,1017,19.19,44
Kamárai,38.3,22.0,50.85,42.62,55,1021,9.17,0
Diffa,13.32,12.61,75.51,68.5,26,1014,7.9,31
Iquique,-20.22,-70.14,68.0,60.67,60,1014,14.99,0
East Stroudsburg,41.0,-75.18,67.98,62.29,30,1029,4.7,1
Nueve de Julio,-35.44,-60.88,75.99,75.22,51,1020,5.01,62
Fort-Shevchenko,44.51,50.26,53.11,41.68,65,1026,16.93,0
Magistral'nyy,56.17,107.45,32.92,26.04,95,1018,5.77,99
Montrose,38.42,-108.27,44.02,29.5,29,1004,15.99,65
Nioro,13.35,-15.75,81.36,79.34,45,1013,8.08,0
Narsaq,60.92,-46.05,32.0,27.61,95,977,1.12,100
Dingle,11.0,122.67,74.5,81.59,90,1008,2.21,35
Sendhwa,21.68,75.1,66.13,62.42,40,1016,3.02,0
Fukuechō,32.69,128.84,56.95,44.85,60,1023,18.7,0
Rondonópolis,-16.47,-54.64,87.96,90.55,45,1010,3.96,72
Marsá Maţrūḩ,31.35,27.25,69.31,69.78,74,1014,5.41,100
Marsh Harbour,26.54,-77.06,77.05,65.46,89,1009,37.49,100
Comodoro Rivadavia,-45.87,-67.5,73.4,63.55,31,1015,13.87,0
Katsuura,35.13,140.3,55.09,40.57,50,1012,20.8,75
Beshpagir,45.02,42.38,57.51,51.76,81,1025,11.18,0
Marang,5.21,103.21,77.0,85.55,94,1009,3.36,40
São Filipe,14.9,-24.5,80.06,82.31,74,1017,10.47,10
Flinders,-34.58,150.86,63.0,63.75,78,1023,1.99,67
Tasiilaq,65.61,-37.64,30.13,9.48,98,992,29.71,100
Kruisfontein,-34.0,24.73,57.0,57.61,95,1021,1.99,100
São Sepé,-30.16,-53.57,80.6,76.98,54,1014,13.87,0
Mount Darwin,-16.77,31.58,80.15,75.29,22,1011,3.96,98
Alice Springs,-23.7,133.88,68.0,62.24,24,1015,3.36,20
Atambua,-9.11,124.89,75.7,80.76,78,1010,3.11,100
Vila Velha,-20.33,-40.29,78.37,77.13,83,1014,18.34,0
Agüimes,27.91,-15.45,69.44,67.69,73,1023,9.17,40
Talnakh,69.49,88.4,24.8,7.48,92,980,22.37,40
Sitka,57.05,-135.33,42.8,28.04,75,1017,20.8,90
Hervey Bay,-25.3,152.85,71.01,68.72,65,1020,8.99,19
Sorong,-0.88,131.25,79.07,86.05,84,1010,4.76,93
Stonewall,50.13,-97.33,64.85,55.9,59,998,16.11,75
Qaqortoq,60.72,-46.03,32.0,27.61,95,977,1.12,100
Laguna,38.42,-121.42,57.56,43.84,20,1007,14.99,1
Requena,39.49,-1.1,48.0,46.49,91,1022,0.81,99
High Level,58.52,-117.14,19.4,9.99,79,1021,6.93,5
North Bend,43.41,-124.22,47.73,34.47,45,1017,16.11,1
Chu,43.6,73.76,41.83,29.28,83,1027,17.36,96
Ishikari,43.24,141.35,39.42,25.14,80,1003,19.46,75
Russell,32.35,-85.2,75.31,75.81,69,1020,8.05,90
Nelson Bay,-32.72,152.15,62.44,61.38,77,1027,4.7,40
Soyo,-6.13,12.37,78.33,82.78,86,1013,9.26,86
Batemans Bay,-35.72,150.18,57.67,57.22,76,952,1.01,16
Ulladulla,-35.35,150.47,57.63,56.43,82,1028,3.36,75
Irbeyskoye,55.64,95.45,34.54,27.82,87,1010,5.32,39
Ilulissat,69.22,-51.1,14.0,-4.59,56,1003,21.92,100
Mizhhirya,48.52,23.51,43.54,40.21,81,1027,1.34,0
Lubao,14.92,120.55,77.9,87.6,94,1008,2.24,75
Cayenne,4.93,-52.33,82.4,86.23,78,1011,11.41,40
Vila do Maio,15.13,-23.22,80.6,76.57,61,1016,17.22,0
Nieuw Nickerie,5.95,-56.98,80.78,81.59,83,1009,17.07,64
Anaconda,46.13,-112.94,10.27,-3.86,61,1008,13.87,90
Chara,56.91,118.26,-5.24,-12.19,80,1026,0.56,69
Otane,-39.88,176.63,48.99,41.54,94,1014,12.15,100
Cabadiangan,9.75,122.47,75.52,81.88,85,1008,2.91,59
Ürümqi,43.8,87.6,33.8,26.22,55,1019,4.47,0
Broken Hill,-31.95,141.43,71.6,59.4,30,1019,17.22,50
Tondano,1.3,124.91,77.0,84.74,83,1009,1.12,20
Morristown,36.21,-83.29,76.32,72.57,47,1025,9.17,1
Antofagasta,-23.65,-70.4,64.4,56.93,72,1014,16.11,40
Sikasso,10.92,-7.0,76.57,71.94,23,1014,3.0,34
Ozinki,51.18,49.68,45.97,33.04,88,1010,19.93,87
Ilām,26.92,87.92,54.95,48.74,49,1018,5.84,0
Zaigrayevo,51.83,108.27,17.6,10.98,92,1021,2.24,0
Río Tercero,-32.17,-64.11,66.0,64.26,77,1013,8.01,100
Boffa,10.17,-14.03,78.08,86.02,90,1014,4.18,25
Marechal Cândido Rondon,-24.56,-54.06,83.34,83.64,37,1009,1.83,96
Berbera,10.44,45.01,78.46,85.77,75,1015,0.45,2
Taitung City,22.76,121.14,70.41,65.08,83,1017,18.84,100
Dolinsk,47.35,142.8,26.6,18.12,86,1006,6.71,40
Lompoc,34.64,-120.46,55.76,42.42,62,1011,20.8,75
Saint-Michel-des-Saints,46.68,-73.92,50.49,47.21,89,1025,4.76,8
Yavaros,26.7,-109.52,85.01,89.53,62,1009,5.99,16
Sulangan,11.14,123.72,81.48,90.54,77,1008,0.83,44
Omsukchan,62.53,155.8,-6.36,-15.61,87,1017,4.65,99
Port Hedland,-20.32,118.57,68.0,68.88,82,1010,5.82,0
Outlook,51.5,-107.05,18.32,1.15,85,1011,20.8,100
Iqaluit,63.75,-68.51,21.09,11.95,85,1014,6.93,90
Alto Araguaia,-17.31,-53.22,78.8,78.71,59,1011,8.23,36
Koslan,63.46,48.9,32.92,22.66,94,994,11.7,99
New Glasgow,45.58,-62.65,42.8,38.5,75,1030,2.24,30
Shingū,33.73,135.98,49.53,44.87,79,1017,5.53,0
Salalah,17.02,54.09,77.0,82.54,78,1017,3.36,0
Khasan,42.43,130.64,31.26,18.97,78,1020,13.91,37
Sfântu Gheorghe,45.87,25.78,41.67,37.29,68,1026,1.41,0
Guánica,17.97,-66.91,74.62,78.17,92,1010,9.24,100
Synya,65.37,58.04,27.55,19.02,98,985,7.63,100
Prince Rupert,54.32,-130.32,40.32,35.33,69,1026,2.24,90
Takoradze,4.88,-1.76,79.02,84.56,87,1014,8.34,73
Slave Lake,55.28,-114.77,23.0,11.98,79,1023,10.29,90
Slobodskoy,58.73,50.18,32.4,21.6,94,1000,12.53,99
Zarinsk,53.71,84.95,40.75,32.97,82,1007,8.5,100
Valverde del Camino,37.58,-6.75,62.01,61.66,86,1026,5.01,75
Lüderitz,-26.65,15.16,60.98,49.68,75,1020,21.74,0
Bowen,-20.02,148.23,71.6,70.97,83,1018,11.41,75
Carahue,-38.7,-73.17,64.4,59.11,63,1018,10.29,20
Coyhaique,-45.58,-72.07,73.4,67.78,33,1017,6.93,0
Safaga,26.73,33.94,73.27,71.87,49,1015,4.12,0
Siilinjärvi,63.08,27.67,32.0,22.93,91,1019,9.17,0
Dudinka,69.41,86.18,24.8,7.48,92,980,22.37,40
Javānrūd,34.8,46.52,49.55,45.45,69,1024,3.27,56
Hampton,37.03,-76.35,66.38,66.61,77,1029,4.7,20
Longyearbyen,78.22,15.64,26.6,16.54,79,999,9.17,75
Camocim,-2.9,-40.84,82.49,80.42,68,1011,17.98,3
Aswān,24.09,32.91,66.92,60.4,39,1016,8.03,0
Ponta Delgada,37.73,-25.67,57.2,54.55,76,1023,4.7,20
Port Blair,11.67,92.75,80.49,85.77,84,1008,9.22,92
Port Shepstone,-30.74,30.45,71.78,71.19,89,1017,13.18,99
Buta,2.79,24.73,70.86,77.36,95,1012,1.43,100
Novosil',52.97,37.04,43.05,34.88,91,1020,10.78,65
Bandarbeyla,9.49,50.81,77.52,77.09,82,1014,15.77,32
Yulara,-25.24,130.99,77.0,68.83,19,1013,8.05,11
Fuling,29.7,107.39,58.26,56.25,67,1026,2.51,0
Altagracia de Orituco,9.86,-66.38,76.55,85.23,91,1008,1.68,96
